State,Narcotic,NonNarcotic,Year,Percentage,From.Yearly.Mean,Yearly.Mean
MO,462,47652,1992,0.9602194787379973,-0.6064597620055762,1.5666792407435735
MS,209,40602,1992,0.5121168312464777,-1.0545624094970958,1.5666792407435735
MT,237,6046,1992,3.772083399649849,2.2054041589062754,1.5666792407435735
NC,1642,41666,1992,3.791447307656784,2.22476806691321,1.5666792407435735
NE,101,12052,1992,0.8310705175676787,-0.7356087231758948,1.5666792407435735
NH,186,11775,1992,1.5550539252570856,-0.01162531548648782,1.5666792407435735
NJ,1159,57804,1992,1.965639468819429,0.3989602280758555,1.5666792407435735
NM,173,15275,1992,1.1198860693940964,-0.44679317134947705,1.5666792407435735
NV,147,4473,1992,3.1818181818181817,1.6151389410746082,1.5666792407435735
NY,1833,110933,1992,1.6254899526453008,0.058810711901727375,1.5666792407435735
OH,2637,174092,1992,1.4921150462006803,-0.0745641945428932,1.5666792407435735
OK,166,8739,1992,1.8641212801796745,0.29744203943610104,1.5666792407435735
OR,792,35081,1992,2.207788587517074,0.6411093467735005,1.5666792407435735
PA,2346,137746,1992,1.6746138252005822,0.10793458445700876,1.5666792407435735
RI,48,11015,1992,0.43387869474826,-1.1328005459953134,1.5666792407435735
SC,788,16086,1992,4.669906364821619,3.103227124078046,1.5666792407435735
TN,602,94760,1992,0.6312787064029698,-0.9354005343406037,1.5666792407435735
TX,25,62162,1992,0.040201328251885445,-1.526477912491688,1.5666792407435735
UT,389,20921,1992,1.8254340685124353,0.25875482776886183,1.5666792407435735
VA,997,57464,1992,1.7054104445698843,0.13873120382631088,1.5666792407435735
VT,306,7551,1992,3.8946162657502863,2.3279370250067126,1.5666792407435735
WA,1726,45471,1992,3.6570120982265824,2.090332857483009,1.5666792407435735
WI,457,52769,1992,0.8586029384135573,-0.7080763023300162,1.5666792407435735
WV,493,42293,1992,1.1522460617959145,-0.41443317894765896,1.5666792407435735
WY,29,1630,1992,1.7480409885473176,0.18136174780374414,1.5666792407435735
XX,44033,2677221,1992,1.6181142958356698,0.05143505509209634,1.5666792407435735
AK,123,8020,1993,1.5104998157927052,0.06462059036301282,1.4458792254296924
AL,815,45172,1993,1.7722399808641573,0.32636075543446497,1.4458792254296924
AR,479,16872,1993,2.760647801279465,1.3147685758497727,1.4458792254296924
CA,3225,636926,1993,0.5037873876632232,-0.9420918377664692,1.4458792254296924
CO,247,25962,1993,0.9424243580449463,-0.5034548673847461,1.4458792254296924
CT,2356,34510,1993,6.390712309445017,4.9448330840153245,1.4458792254296924
DC,23,8813,1993,0.2602987777274785,-1.1855804477022138,1.4458792254296924
DE,129,8283,1993,1.5335235378031382,0.08764431237344583,1.4458792254296924
FL,2142,104328,1993,2.0118343195266273,0.5659550940969349,1.4458792254296924
GA,1285,68470,1993,1.8421618521969754,0.396282626767283,1.4458792254296924
HI,286,10132,1993,2.7452486081781533,1.299369382748461,1.4458792254296924
IA,262,20984,1993,1.233173303210016,-0.21270592221967632,1.4458792254296924
ID,274,7998,1993,3.31237911025145,1.8664998848217578,1.4458792254296924
IL,4905,287894,1993,1.675210639380599,0.22933141395090662,1.4458792254296924
IN,568,94158,1993,0.5996241792116209,-0.8462550462180715,1.4458792254296924
KS,301,21570,1993,1.376251657445933,-0.06962756798375946,1.4458792254296924
KY,569,139541,1993,0.4061094854043251,-1.0397697400253674,1.4458792254296924
LA,1317,56673,1993,2.271081220900155,0.8252019954704628,1.4458792254296924
MA,3227,101799,1993,3.072572505855693,1.6266932804260006,1.4458792254296924
MD,1012,45939,1993,2.1554386488040724,0.70955942337438,1.4458792254296924
ME,258,33267,1993,0.7695749440715884,-0.6763042813581039,1.4458792254296924
MI,941,231005,1993,0.4056978779543514,-1.040181347475341,1.4458792254296924
MN,771,52221,1993,1.4549365942028987,0.009057368773206287,1.4458792254296924
MO,508,59452,1993,0.847231487658439,-0.5986477377712534,1.4458792254296924
MS,479,56334,1993,0.8431168922605741,-0.6027623331691183,1.4458792254296924
MT,434,7865,1993,5.229545728401012,3.78366650297132,1.4458792254296924
NC,2369,48260,1993,4.67913646329179,3.233257237862097,1.4458792254296924
ND,13,4196,1993,0.30886196246139225,-1.1370172629683002,1.4458792254296924
NE,303,22465,1993,1.3308151791988756,-0.11506404623081679,1.4458792254296924
NH,314,15125,1993,2.0338104799533645,0.5879312545236721,1.4458792254296924
NJ,1355,54185,1993,2.439683111271156,0.9938038858414635,1.4458792254296924
NM,248,20792,1993,1.1787072243346008,-0.26717200109509154,1.4458792254296924
NV,320,4971,1993,6.048006048006048,4.602126822576356,1.4458792254296924
NY,2313,258924,1993,0.8854029100012633,-0.5604763154284291,1.4458792254296924
OH,3672,208717,1993,1.7289030976180497,0.28302387218835734,1.4458792254296924
OK,308,14527,1993,2.076171216717223,0.6302919912875304,1.4458792254296924
OR,1630,50277,1993,3.140231567996609,1.6943523425669165,1.4458792254296924
PA,2436,144910,1993,1.6532515304114128,0.20737230498172043,1.4458792254296924
RI,91,11104,1993,0.8128628852166145,-0.6330163402130778,1.4458792254296924
SC,852,16624,1993,4.875257495994507,3.429378270564815,1.4458792254296924
TN,632,92160,1993,0.681093197689456,-0.7647860277402364,1.4458792254296924
TX,227,76695,1993,0.2951041314578404,-1.150775093971852,1.4458792254296924
UT,574,20746,1993,2.6923076923076925,1.2464284668780001,1.4458792254296924
VA,1184,57603,1993,2.0140507255005358,0.5681715000708434,1.4458792254296924
VT,362,9589,1993,3.6378253441865143,2.191946118756822,1.4458792254296924
WA,3007,87543,1993,3.320817228050801,1.8749380026211084,1.4458792254296924
WI,617,61103,1993,0.9996759559300066,-0.4462032694996858,1.4458792254296924
WV,698,51168,1993,1.3457756526433502,-0.10010357278634219,1.4458792254296924
WY,32,2490,1993,1.26883425852498,-0.17704496690471228,1.4458792254296924
XX,53456,3567017,1993,1.4764921600022982,0.030612934572605832,1.4458792254296924
AK,305,9719,1994,3.0426975259377493,1.1055065211181447,1.9371910048196046
AL,1042,51196,1994,1.9947164899115588,0.05752548509195421,1.9371910048196046
AR,889,20173,1994,4.220871712088121,2.283680707268516,1.9371910048196046
CA,5607,927256,1994,0.6010528877230633,-1.3361381170965414,1.9371910048196046
CO,254,20820,1994,1.2052766442061307,-0.7319143606134739,1.9371910048196046
CT,2957,43099,1994,6.420444676046552,4.483253671226947,1.9371910048196046
DC,379,10432,1994,3.505688650448617,1.5684976456290123,1.9371910048196046
DE,121,9126,1994,1.3085324970260626,-0.628658507793542,1.9371910048196046
FL,3232,121531,1994,2.590511610012584,0.6533206051929792,1.9371910048196046
GA,1923,80354,1994,2.337226685464954,0.40003568064534933,1.9371910048196046
HI,374,11392,1994,3.1786503484616695,1.241459343642065,1.9371910048196046
IA,547,33421,1994,1.6103391427225624,-0.3268518620970422,1.9371910048196046
ID,374,8457,1994,4.23508096478315,2.2978899599635456,1.9371910048196046
IL,6755,276228,1994,2.3870691879017465,0.4498781830821419,1.9371910048196046
IN,1088,97774,1994,1.1005239626954746,-0.83666704212413,1.9371910048196046
KS,570,24468,1994,2.27653965971723,0.3393486548976252,1.9371910048196046
KY,1332,137039,1994,0.96262945270324,-0.9745615521163646,1.9371910048196046
LA,1987,65028,1994,2.965007834067,1.0278168292473953,1.9371910048196046
MA,4901,128970,1994,3.6609870696416698,1.7237960648220652,1.9371910048196046
